id,name,street,town,area,lat,lng,provider
1273,ABB Alnabru,"Ole Deviks vei 10, 0666 Oslo",Oslo,Oslo,59.91501,10.82592,Mer
121,"Aker Brygge P-hus, Oslo","Sjøgata 4, 0250 Oslo",Oslo,Oslo,59.91037,10.72454,EuroPark AS
4291,"Akershus festning, Oslo","Myntgata 2, 0151 Oslo",Oslo,Oslo,59.90907,10.7373,Oslo kommune
1856,"Akersveien, Oslo","Akersveien 33, 0177 Oslo",Oslo,Oslo,59.92092,10.74633,Oslo kommune
3031,Alf Bjerckes vei 22 C,"Alf Bjerckes vei 22 C, 0582 Oslo",Oslo,Oslo,59.93616,10.83841,Aspelin Ramm Drift AS
1295,"Alf Bjerckes vei 28, Oslo","Alf Bjerckes vei 28, 0582 Oslo",Oslo,Oslo,59.93635,10.83878,Alf Bjerckes vei 28 AS
40,Alna Senter,"Strømsveien 245, 0668 Oslo",Oslo,Oslo,59.92629,10.84737,Alna senter
4168,Alna senter,"Strømsveien 245, 0668 Oslo",Oslo,Oslo,59.92586,10.84814,Mer
2016,"Alnafetgata, Oslo","Alnafetgata 2, 0192 Oslo",Oslo,Oslo,59.90254,10.77179,Oslo Kommune
3618,"Ammerudhellinga, Oslo","Ammerudhellinga 47, 0959 Oslo",Oslo,Oslo,59.96186,10.87155,Oslo kommune
6418,Ammerudveien,"Ammerudveien 27, 0958 Oslo",Oslo,Oslo,59.96196,10.87194,Oslo kommune
6847,Arnljot Gellines vei 31-35,"Arnljot Gellines vei 31-35, 0657 Oslo",Oslo,Oslo,59.9057339,10.7980102,Oslo kommune
6848,Arups gate 10-14,"Arups gate 10-14, 0192 Oslo",Oslo,Oslo,59.907281,10.769869,Oslo kommune
1041,"Arups gate, Oslo","Arups gate 6, 0192 Oslo",Oslo,Oslo,59.90754,10.76871,Oslo kommune
6431,Arvid Storsveens plass,"Arvid Storsveens plass , 0851 Oslo",Oslo,Oslo,59.93959,10.72705,Oslo kommune
1055,"Askekroken, Oslo","Askekroken , 0276 Oslo",Oslo,Oslo,59.92327,10.68135,Oslo kommune
6849,Asperudlia,"Asperudlia 78, 1258 Oslo",Oslo,Oslo,59.8395,10.79925,Oslo kommune
8070,BKK Hurtigladestasjon Alna senter,"Strømsveien 245, 0668 Oslo",Oslo,Oslo,59.92642,10.84788,BKK
8027,BKK Hurtigladestasjon Grorud Senter,"Bergensveien 2, 0963 Oslo",Oslo,Oslo,59.96038,10.88157,BKK
7455,BKK Hurtigladestasjon Linderud Senter,"Erich Mogensøns vei 38, 0594 Oslo",Oslo,Oslo,59.94275,10.83544,BKK
3489,"Badebakken, Oslo","Badebakken 2, 0467 Oslo",Oslo,Oslo,59.94607,10.76105,Oslo kommune
60,"Baldersgate, Oslo","Baldersgate 9-13, 0263 Oslo",Oslo,Oslo,59.91928,10.71118,Oslo kommune
199,"Bankplassen P-hus, Oslo","Bankplassen 1, 0151 Oslo",Oslo,Oslo,59.90835,10.74068,Q-park
3279,"Bergljots vei, Oslo","Bergljots vei 11, 0575 Oslo",Oslo,Oslo,59.92339,10.7838,Oslo kommune
1059,"Bernt Ankers gate, Oslo","Bernt Ankers gate 2, 0182 Oslo",Oslo,Oslo,59.91481,10.75364,Oslo kommune
6414,Betty Kjelsbergs vei,"Betzy Kjelsbergs vei 18, 0486 Oslo",Oslo,Oslo,59.95407,10.77044,Oslo kommune
6730,Biermanns gate,"Biermanns gate 2, 0473 Oslo",Oslo,Oslo,59.93064,10.75974,Oslo kommune
1069,Birger N. Haug Oslo,"Haraldrudveien 9, 0581 Oslo",Oslo,Oslo,59.93085,10.82448,Recharge/Birger N. Haug
6850,Birger Olivers vei,"Birger Olivers vei 10, 1176 Oslo",Oslo,Oslo,59.875325,10.7935221,Oslo kommune
702,"Bjerke travbane, Oslo","Trondheimsveien 271-273, 0510 Oslo",Oslo,Oslo,59.94175,10.81196,Bjerke travbane AS
83,"Bjerregaardsgate, Oslo","Bjerregaardsgate 28, 0172 Oslo",Oslo,Oslo,59.92474,10.74454,Oslo kommune
3276,Bjølsen,"Stavangergata 44, 0468 Oslo",Oslo,Oslo,59.94396,10.75918,Recharge
6424,Bjørn Farmanns gate 12-16,"Bjørn Farmanns gate 12, 0271 Oslo",Oslo,Oslo,59.91198,10.70683,Oslo kommune
6836,Bogstad Camping,"Ankerveien 117, 0766 Oslo",Oslo,Oslo,59.96255,10.64193,Recharge
2497,"Bogstadsveien, Oslo","Bogstadsveien , 0355 Oslo",Oslo,Oslo,59.92454,10.72457,Oslo kommune
994,"Bogstadveien 1 P-hus, Oslo","Bogstadveien 1, 0355 Oslo",Oslo,Oslo,59.9241,10.72557,Q-park AS
2498,"Borggata , Oslo","Borggata 4, 0650 Oslo",Oslo,Oslo,59.9122,10.77012,Oslo kommune
4696,Brageveien 2,"Brageveien 2, 0358 Oslo",Oslo,Oslo,59.93115,10.73407,Oslo kommune
6851,Bredo Stabells vei,"Bredo Stabells vei , 0853 Oslo",Oslo,Oslo,59.9430184,10.7450581,Oslo kommune
1096,"Briskeby, Oslo","Industrigata 15, 0259 Oslo",Oslo,Oslo,59.92344,10.71645,Oslo kommune
5793,Brobekkveien  114,"Brobekkveien 114, 0582 Oslo",Oslo,Oslo,59.92637,10.83275,IKT Elektro
6650,Brobekkveien 114,"Brobekkveien 114, 0582 Oslo",Oslo,Oslo,59.92637,10.83275,Plugpay AS
5946,Brobekkveien 28,"Brobekkveien 28, 0598 Oslo",Oslo,Oslo,59.9408,10.82523,Oslo kommune
3155,Bryn P-plass,"Østensjøveien 64, 0668 Oslo",Oslo,Oslo,59.90756,10.81848,Oslo kommune
4869,Bryn senter,"Østensjøveien 79, 0667 Oslo",Oslo,Oslo,59.90364,10.82152,Recharge
3494,Båhusveien. Oslo,"Båhusveien 28, 0573 Oslo",Oslo,Oslo,59.9322,10.78233,Oslo kommune
6852,Bård skolemesters vei,"Øyvinds vei 1, 0590 Oslo",Oslo,Oslo,59.9447785,10.8099579,Oslo kommune
2726,"Bølerlia, Oslo","Bølerlia 22, 0691 Oslo",Oslo,Oslo,59.87854,10.8463,Oslo kommune
192,"CC Vest, P-hus vest","Lilleakerveien 16, 0283 Oslo",Oslo,Oslo,59.91633,10.63683,CC Vest
5202,"CC Vest, P-hus øst","Lilleakerveien 16, 0283 Oslo",Oslo,Oslo,59.91724,10.63701,CC Vest
5203,"CC vest, P-hus nord","Lilleakerveien 16, 0283 Oslo",Oslo,Oslo,59.91857,10.63498,CC vest
3359,Care Center Continentalgarasjen,"Klingenberggata 3, 0161 Oslo",Oslo,Oslo,59.91379,10.73308,Care Center
3360,"Care Center RadissonBLU Plaza, Oslo","Sonja Henies plass 3, 0134 Oslo",Oslo,Oslo,59.91266,10.75622,Care Center
2201,"Caspar Storms vei, Oslo","Caspar Storms vei 14, 0664 Oslo",Oslo,Oslo,59.92054,10.82887,Q-park
